epoch,train_loss,train_acc,val_loss,val_acc
1,1.3429123568557326,0.39304521665637293,1.284856763944833,0.4465004022526146
2,1.2443217482573188,0.4482657738191984,1.136092640012165,0.5125429678929276
3,0.958930517589186,0.6255322952897961,0.8028792378880291,0.7089153806772471
4,0.7154174894845265,0.7448964665344733,0.6561159860161013,0.7718861990784758
5,0.5859403953794672,0.7947615642167539,0.545450598731662,0.8071381554889198
6,0.49020278177726984,0.8294135812502031,0.46625737076809,0.8409273751188474
7,0.4308180683032243,0.8531433865357735,0.429437167181282,0.8557010166020624
8,0.4019699579040782,0.8657234339953841,0.4061545689858576,0.8653550793534703
9,0.383337729319296,0.8748252771186166,0.3912566031925263,0.8723762158999488
10,0.37040178421526937,0.8810502876832559,0.3803295031563728,0.8777152051488335
11,0.3589611597102698,0.8866414198875272,0.3699433088415954,0.8827616470416149
12,0.34929573195105323,0.8910054285992913,0.3597081969958378,0.8877349520953705
13,0.34134525102117114,0.8945648993921269,0.35271465768978344,0.8889051415197835
14,0.3341547039972032,0.8974010987224913,0.3467135886890367,0.8941709939296424
15,0.3273906357349277,0.9008549231219322,0.3400991350000415,0.8965113727784685
16,0.32178126990638195,0.9030978773201573,0.3332560845207106,0.9004607620858627
17,0.31633597720689655,0.9051782986054676,0.32986548452521003,0.900314488407811
18,0.31124023834440623,0.9069499073562396,0.32292705798065413,0.9033862356468954
19,0.3063382619629639,0.909282254656568,0.3211639970944235,0.9052877934615666
20,0.30253129174695914,0.910354971881806,0.3142440030301558,0.9056534776566957
21,0.29796522783391427,0.9119559210740175,0.310354537132288,0.9105536458714254
22,0.29454609259177844,0.9138413028638299,0.306398160609053,0.9093103196079866
23,0.290859308147432,0.9146702207196957,0.30482914945746725,0.9100416879982447
24,0.28681188216407194,0.9163443097227189,0.29874680407880944,0.9122357931690193
25,0.28290971168281936,0.9174657868218314,0.294515094468146,0.9147955825349229
